ids,capacity,active,draft
6900,0,TRUE,2020
7235,0,TRUE,2020
5978,0,TRUE,2020
7066,1,TRUE,2020
6907,1,TRUE,2020
7220,1,TRUE,2020
7238,2,TRUE,2020
6908,2,TRUE,2020
7038,2,TRUE,2020
7091,2,TRUE,2020
7049,2,TRUE,2020
7233,2,TRUE,2020
7086,2,TRUE,2020
7083,2,TRUE,2020
6933,2,TRUE,2020
6864,2,TRUE,2020
6849,2,TRUE,2020
6848,2,TRUE,2020
6940,2,TRUE,2022
6892,2,TRUE,2022
6866,2,TRUE,2022
6918,2,TRUE,2022
6941,2,TRUE,2022
6842,2,TRUE,2022
6823,3,TRUE,2022
6998,4,TRUE,2020
7076,4,TRUE,2020
6902,4,TRUE,2020
6958,4,TRUE,2020
6814,4,TRUE,2020
6982,4,TRUE,2020
6852,4,TRUE,2022
6824,4,TRUE,2022
6809,4,TRUE,2022
6956,4,TRUE,2022
7015,4,TRUE,2022
6865,5,TRUE,2022
6799,5,TRUE,2022
7008,5,TRUE,2022
6942,5,TRUE,2022
6798,5,TRUE,2022
6947,5,TRUE,2022
6945,5,TRUE,2022
6822,5,TRUE,2022
6916,5,TRUE,2022
6953,5,TRUE,2022
6855,5,TRUE,2022
7260,5,TRUE,2022
7262,6,TRUE,2020
5328,6,TRUE,2020
6989,6,TRUE,2021
6779,6,TRUE,2022
6986,6,TRUE,2022
6869,6,TRUE,2022
6882,6,TRUE,2022
6818,6,TRUE,2022
6962,6,TRUE,2022
7005,6,TRUE,2022
6810,6,TRUE,2022
6938,6,TRUE,2022
6931,7,TRUE,2020
6909,7,TRUE,2021
6873,7,TRUE,2022
6858,8,TRUE,2020
7095,8,TRUE,2020
7060,8,TRUE,2020
6928,8,TRUE,2022
6949,8,TRUE,2022
6844,8,TRUE,2022
6775,8,TRUE,2022
6827,8,TRUE,2022
6838,8,TRUE,2022
6976,8,TRUE,2022
6980,8,TRUE,2022
7244,8,TRUE,2022
6805,8,TRUE,2022
7245,8,TRUE,2022
6786,8,TRUE,2022
6803,9,TRUE,2020
7032,9,TRUE,2020
6149,9,TRUE,2020
6957,9,TRUE,2021
7256,9,TRUE,2021
7227,9,TRUE,2021
6255,10,TRUE,2020
6144,10,TRUE,2021
6870,10,TRUE,2021
6826,10,TRUE,2021
6808,10,TRUE,2022
6863,10,TRUE,2022
6929,10,TRUE,2022
6857,10,TRUE,2022
6899,10,TRUE,2022
6830,10,TRUE,2022
6161,11,TRUE,2020
7030,11,TRUE,2020
6754,11,TRUE,2021
6753,12,TRUE,2020
6265,12,TRUE,2020
6542,12,TRUE,2021
7010,12,TRUE,2022
6787,12,TRUE,2022
6889,12,TRUE,2022
6778,12,TRUE,2022
7003,12,TRUE,2022
7000,12,TRUE,2022
6924,12,TRUE,2022
6790,12,TRUE,2022
7105,13,TRUE,2020
6145,13,TRUE,2021
6782,13,TRUE,2022
6792,13,TRUE,2022
6137,14,TRUE,2020
6066,14,TRUE,2021
6128,14,TRUE,2021
6877,14,TRUE,2022
6788,14,TRUE,2022
6951,14,TRUE,2022
6194,15,TRUE,2021
6125,15,TRUE,2021
6289,15,TRUE,2021
