kgName,kinderGardenId,kgExternal,kgMapUrl,selectedRegionId,selectedRegionRegionName
СДЯ №1 ,242,1,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.689746,23.326228&spn=0.004408,0.010042&iwloc=lyrftr:msid:215514434165803826755.00044d55fe12e68875c38,0004abdbd4094fd9c4280,,,0,-31",1,Средец
ДГ №18 Детски свят (с яслени групи),36,18,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.68654,23.347535&spn=0.001869,0.003626&t=h&z=18&iwloc=00044d93f1ddacd588d77",1,Средец
ДГ №18 Детски свят - сграда 2,479,18,,1,Средец
СДЯ №28 ,243,28,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.690558,23.321925&spn=0.00373,0.006416  ",1,Средец
ДГ №77 Магнолия,86,77,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&t=h&ll=42.690204,23.345121&spn=0.001869,0.003455&z=18",1,Средец
ДГ №113 Преспа,105,113,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.689494,23.326496&spn=0.001869,0.003626&t=h&z=18&iwloc=00044dcf015a8d2fa585f",1,Средец
ДГ №159 Олимпийче,184,159,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.692021,23.321357&spn=0.001869,0.003626&t=h&z=18&iwloc=00044d9263de51a754055",1,Средец
ДГ №8 Проф. д-р Елка Петрова (с яслени групи),147,8,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.671361,23.284187&spn=0.00187,0.003626&t=h&z=18&iwloc=00044d9135307eb421bf1",2,Красно село
СДЯ №31 Палавници,244,31,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.683697,23.296702&spn=0.007461,0.012832  ",2,Красно село
ДГ №67 Чучулига,192,67,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.671823,23.277084&spn=0.00187,0.003626&t=h&z=18&iwloc=00044db962ad74f968c89",2,Красно село
ДГ №67 Чучулига - сграда бл. 8,233,67,https://www.google.com/maps/d/edit?mid=16SSNdcKE-i_XeQ2mlaYxnZeXeTY&ll=42.671259842819566%2C23.27530012613795&z=19,2,Красно село
ДГ №80 Приказна калина (с яслени групи),109,80,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.680318,23.291686&spn=0.001869,0.003626&t=h&z=18",2,Красно село
ДГ №85 Родина,120,85,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.693464,23.307892&spn=0.001869,0.003626&t=h&z=18&iwloc=00044dbcbf6f65779e757",2,Красно село
ДГ №93 Чуден свят (с яслени групи),157,93,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.676571,23.286451&spn=0.001869,0.003626&t=h&z=18&iwloc=00044dcce4f64b213751d",2,Красно село
ДГ №93 Чуден свят - сграда бл. 195,283,93,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.676571,23.286451&spn=0.001869,0.003626&t=h&z=18&iwloc=00044dcce4f64b213751d",2,Красно село
